site_no	3335000.0
Mean Flow	815.407348220529
Peak Flow	10069.10447761194
Median	391.85820895522386
Coeff Var	152.01918490618445
Skew	4.030753318886979
TQmean	0.264080940240274
R-B Index	0.2694502410653144
7Q	100.21535181236675
3xMedian	63.35820895522388
Station	Wildcat
site_no	3331500.0
Mean Flow	899.0169781545984
Peak Flow	4588.831168831169
Median	663.577922077922
Coeff Var	83.4284655798293
Skew	1.954499670951897
TQmean	0.3594622904761665
R-B Index	0.09212144510875449
7Q	203.36734693877554
3xMedian	34.81818181818182
Station	Tippe
