Date	site_no	Discharge	Mean Flow	Coeff Var	TQmean	R-B Index	Station
1	3335000.0	988.301759530792	988.301759530792	80.43774565357266	0.33088954056695996	0.2260944285532155	Wildcat
2	3335000.0	1109.99184579788	1109.99184579788	77.27309226049715	0.33603896103896114	0.23207097995616843	Wildcat
3	3335000.0	1363.4943792766373	1363.4943792766373	65.76087724680833	0.3520690778755295	0.21227424526570804	Wildcat
4	3335000.0	1380.1972494172496	1380.1972494172496	64.61611794585346	0.35585081585081596	0.2114826095386581	Wildcat
5	3335000.0	1048.1607862903227	1048.1607862903227	64.15721522884071	0.3684475806451614	0.21578210534085152	Wildcat
6	3335000.0	1011.1217171717168	1011.1217171717168	74.20222736798323	0.3240740740740741	0.2785473968586303	Wildcat
7	3335000.0	658.2445747800588	658.2445747800588	67.76869388393945	0.33479960899315736	0.2575792046424649	Wildcat
8	3335000.0	321.8044477028348	321.8044477028348	67.47217258381178	0.3098729227761487	0.23604474217076551	Wildcat
9	3335000.0	310.9470202020202	310.9470202020202	52.036083804334616	0.3292929292929293	0.17853781109164374	Wildcat
10	3335000.0	329.70508308895404	329.70508308895404	46.2059975277349	0.3523949169110459	0.15002767239596027	Wildcat
11	3335000.0	565.104696969697	565.104696969697	59.65110764073719	0.3287878787878788	0.18300040508462145	Wildcat
12	3335000.0	855.6199902248287	855.6199902248287	65.05864828389296	0.3509286412512221	0.19158516103446235	Wildcat
1	3331500.0	1066.508588186008	1066.508588186008	36.87358132652354	0.39966485127775464	0.08999447202920711	Tippe
2	3331500.0	1209.905348346235	1209.905348346235	44.17138116538464	0.3887467212590366	0.0994672026477053	Tippe
3	3331500.0	1474.4391844714426	1474.4391844714426	32.98870237047012	0.41533305404273146	0.07961741833217074	Tippe
4	3331500.0	1515.178070175439	1515.178070175439	32.41810769009525	0.4447368421052631	0.08036986493443869	Tippe
5	3331500.0	1171.5751273344656	1171.5751273344656	34.58808779882189	0.4070458404074704	0.07959347445321545	Tippe
6	3331500.0	972.6605263157896	972.6605263157896	33.8873115073423	0.4271929824561402	0.09280227409273922	Tippe
7	3331500.0	644.6349745331072	644.6349745331072	36.7080190223075	0.40237691001697795	0.0917137184770075	Tippe
8	3331500.0	444.22792869269955	444.22792869269955	29.56227650476618	0.41086587436332755	0.07393350882141293	Tippe
9	3331500.0	373.4622807017544	373.4622807017544	24.519318188096648	0.39166666666666655	0.06380036188459137	Tippe
10	3331500.0	465.1089233347299	465.1089233347299	24.845649333696624	0.4080435693338918	0.056449978706996466	Tippe
11	3331500.0	617.4541125541126	617.4541125541126	28.703048840803962	0.40909090909090895	0.07145675004249473	Tippe
12	3331500.0	845.0909090909091	845.0909090909091	32.208946229818	0.40427314620863014	0.0768583565886508	Tippe
